iso3c	year	voter_turnout	vap_turnout	lne_turnout	lne_type	lne_type2	lne_parl	lne_fo	concurrent	concurrent_parl	concurrent_else	tt_next	ne_days0	ne_count	ne_count2	ne_months	first_ep	cv
EST	2019	37.59347290598667	33.25	63.67278177187803	parliament	parliament	1	1	0	0	0	29.166666666666668	84	3	3	2.8	0	0
FIN	1996	57.597348847069256	60.94	68.57525686351342	subnational	subnational	0	0	1	0	1	29.4	0	5	4	19.366666666666667	1	0
FIN	1999	29.961958273889387	31.64	65.26527840324822	parliament	parliament	1	1	0	0	0	7.233333333333333	84	4	4	2.8	0	0
FIN	2004	39.42613825444591	41.22	66.7077158678222	parliament	parliament	1	1	0	0	0	4.433333333333334	455	4	3	15.166666666666666	0	0
FIN	2009	38.602437369834256	39.92	65.01557623689672	subnational	subnational	0	0	0	0	0	22.633333333333333	224	5	4	7.466666666666667	0	0
FIN	2014	39.142359171019415	41.89	67.36705623286545	subnational	subnational	0	0	0	0	0	10.966666666666667	574	4	3	19.133333333333333	0	0
FIN	2019	40.76073153837957	41.12	72.84184622788668	parliament	parliament	1	1	0	0	0	24.966666666666665	42	4	4	1.4	0	0
FRA	1979	60.70675851936402	NA	84.23	parliament	parliament	1	0	0	0	0	22.866666666666667	448	4	2	14.933333333333334	1	0
FRA	1984	56.69999973970117	NA	83.38	subnational	subnational	0	0	0	0	0	21.233333333333334	462	6	3	15.4	0	0
FRA	1989	48.803953135735036	NA	84.2	subnational	subnational	0	0	0	0	0	33.6	91	8	5	3.033333333333333	0	0
FRA	1994	52.755220638385175	46.68	84.2	parliament	parliament	1	0	0	0	0	10.5	441	4	3	14.7	0	0
FRA	1999	46.760473558137406	41.37	79.68	subnational	subnational	0	0	0	0	0	15.633333333333333	455	7	4	15.166666666666666	0	0
FRA	2004	42.79460550564097	37.52	79.71	subnational	subnational	0	0	0	0	0	11.666666666666666	77	9	5	2.566666666666667	0	0
FRA	2009	40.630112944696414	35.92	83.97	subnational	subnational	0	0	0	0	0	9.333333333333334	448	7	4	14.933333333333334	0	0
FRA	2014	42.42779072303638	38.82	80.35	subnational	subnational	0	0	0	0	0	10.033333333333333	56	8	4	1.8666666666666667	0	0
FRA	2019	50.12266469037874	45.03	77.77	parliament	parliament	1	0	0	0	0	9.8	707	8	4	23.566666666666666	0	0
GBR	1979	32.67169667108134	33.29	76.00154664173611	parliament	parliament	1	1	0	0	0	48.766666666666666	35	3	3	1.1666666666666667	1	0
GBR	1984	32.94224886559288	33.69	72.81359876789038	parliament	parliament	1	1	0	0	0	36.4	371	1	1	12.366666666666667	0	0
GBR	1989	36.81290631559641	36.87	75.4193859354298	parliament	parliament	1	1	0	0	0	34.3	735	1	1	24.5	0	0
GBR	1994	36.4915783595762	36.13	77.76673427410674	parliament	parliament	1	1	0	0	0	35.233333333333334	791	1	1	26.366666666666667	0	0
GBR	1999	24.024717086474848	24.08	71.54482677155795	parliament	parliament	1	1	0	0	0	24.266666666666666	770	1	1	25.666666666666668	0	0
GBR	2004	38.51660475273526	37.89	59.6068872274585	parliament	parliament	1	1	0	0	0	10.966666666666667	1099	1	1	36.63333333333333	0	0
GBR	2009	33.62334153840477	32.05	61.782151351788464	parliament	parliament	1	1	0	0	0	11.2	1491	1	1	49.7	0	0
GBR	2014	35.59641924022642	33.2	65.77443204567903	referendum	referendum	0	0	0	0	0	11.666666666666666	1113	2	2	37.1	0	0
GBR	2019	37.1691085329769	33.21	68.94159273174033	parliament	parliament	1	1	0	0	0	6.766666666666667	714	3	3	23.8	0	0
GRC	1981	78.59999972674125	82.96	81.49658530339056	parliament	parliament	1	1	1	1	0	32.43333333333333	0	1	1	47.6	1	1
GRC	1984	77.1704434317047	84.31	81.49658530339056	NA	NA	0	0	0	0	0	11.666666666666666	973	1	1	32.43333333333333	0	1
GRC	1989	79.8826387227524	89.78	80.32880083522716	parliament	parliament	1	1	1	1	0	4.666666666666667	0	1	1	49.233333333333334	0	1
GRC	1994	71.24041264021638	84.98	79.21527070076812	parliament	parliament	1	1	0	0	0	4.2	245	3	3	8.166666666666666	0	1
GRC	1999	70.25070625533864	78.68	76.34671233473169	subnational	subnational	0	0	0	0	0	10.033333333333333	238	5	3	7.933333333333334	0	1
GRC	2004	63.22289581816351	70.33	76.49916252644826	parliament	parliament	1	1	0	0	0	28.466666666666665	98	4	3	3.2666666666666666	0	1
